IID,sire,hare
NA12815,EUR,EUR
NA12827,EUR,EUR
NA12828,EUR,EUR
NA12829,EUR,EUR
NA12830,EUR,EUR
NA12842,EUR,EUR
NA12843,EUR,EUR
NA12872,EUR,EUR
NA12873,EUR,EUR
NA12874,EUR,EUR
NA12878,EUR,EUR
NA12889,EUR,EUR
NA12890,EUR,EUR
NA18525,ASN,ASN
NA18526,ASN,ASN
NA18528,ASN,ASN
NA18530,ASN,ASN
NA18531,ASN,ASN
NA18532,ASN,ASN
NA18533,ASN,ASN
NA18534,ASN,ASN
NA18535,ASN,ASN
NA18536,ASN,ASN
NA18537,ASN,ASN
NA18538,ASN,ASN
NA18539,ASN,ASN
NA18541,ASN,ASN
NA18542,ASN,ASN
NA18543,ASN,ASN
NA18544,ASN,ASN
NA18545,ASN,ASN
NA18546,ASN,ASN
NA18547,ASN,ASN
NA18548,ASN,ASN
NA18549,ASN,ASN
NA18550,ASN,ASN
NA18552,ASN,ASN
NA18553,ASN,ASN
NA18555,ASN,ASN
NA18557,ASN,ASN
NA18558,ASN,ASN
NA18559,ASN,ASN
NA18560,ASN,ASN
NA18561,ASN,ASN
NA18562,ASN,ASN
NA18563,ASN,ASN
NA18564,ASN,ASN
NA18565,ASN,ASN
NA18566,ASN,ASN
NA18567,ASN,ASN
NA18570,NA,ASN
NA18571,ASN,ASN
NA18572,ASN,ASN
NA18573,ASN,ASN
NA18574,NA,ASN
NA18577,ASN,ASN
NA18579,NA,ASN
NA18582,ASN,ASN
NA18591,ASN,ASN
NA18592,ASN,ASN
NA18593,ASN,ASN
NA18595,ASN,ASN
NA18596,ASN,ASN
NA18597,ASN,ASN
NA18599,ASN,ASN
NA18602,ASN,ASN
NA18603,ASN,ASN
NA18605,ASN,ASN
NA18606,ASN,ASN
NA18608,ASN,ASN
NA18609,ASN,ASN
NA18610,ASN,ASN
NA18611,ASN,ASN
NA18612,ASN,ASN
NA18613,ASN,ASN
NA18614,ASN,ASN
NA18615,ASN,ASN
NA18616,ASN,ASN
NA18617,ASN,ASN
NA18618,ASN,ASN
NA18619,ASN,ASN
NA18620,ASN,ASN
NA18621,ASN,ASN
NA18622,ASN,ASN
NA18623,ASN,ASN
NA18624,ASN,ASN
NA18625,ASN,ASN
NA18626,ASN,ASN
NA18627,ASN,ASN
NA18628,ASN,ASN
NA18629,ASN,ASN
NA18630,NA,ASN
NA18631,ASN,ASN
NA18632,ASN,ASN
NA18633,ASN,ASN
NA18634,ASN,ASN
NA18635,ASN,ASN
NA18636,ASN,ASN
NA18637,ASN,ASN
NA18638,NA,ASN
NA18639,ASN,ASN
NA18640,ASN,ASN
NA18641,ASN,ASN
NA18642,ASN,ASN
NA18643,ASN,ASN
NA18644,ASN,ASN
NA18645,ASN,ASN
NA18646,ASN,ASN
NA18647,NA,ASN
NA18648,ASN,ASN
NA18740,ASN,ASN
NA18745,ASN,ASN
NA18747,ASN,ASN
NA18748,ASN,ASN
NA18749,NA,ASN
NA18757,ASN,ASN
NA18939,ASN,ASN
NA18940,ASN,ASN
NA18941,ASN,ASN
NA18942,ASN,ASN
NA18943,ASN,ASN
NA18944,ASN,ASN
NA18945,ASN,ASN
NA18946,NA,ASN
NA18947,ASN,ASN
NA18948,ASN,ASN
NA18949,ASN,ASN
NA18950,ASN,ASN
NA18951,ASN,ASN
NA18952,ASN,ASN
NA18953,ASN,ASN
NA18954,ASN,ASN
NA18956,ASN,ASN
NA18957,ASN,ASN
NA18959,ASN,ASN
NA18960,NA,ASN
NA18961,ASN,ASN
NA18962,ASN,ASN
NA18963,ASN,ASN
NA18964,ASN,ASN
NA18965,ASN,ASN
NA18966,NA,ASN
NA18967,ASN,ASN
NA18968,ASN,ASN
NA18969,NA,ASN
NA18970,ASN,ASN
NA18971,ASN,ASN
NA18972,ASN,ASN
NA18973,ASN,ASN
NA18974,ASN,ASN
NA18975,ASN,ASN
NA18976,ASN,ASN
NA18977,ASN,ASN
NA18978,ASN,ASN
NA18979,ASN,ASN
NA18980,ASN,ASN
NA18981,ASN,ASN
NA18982,ASN,ASN
NA18983,ASN,ASN
NA18984,ASN,ASN
NA18985,ASN,ASN
NA18986,NA,ASN
NA18987,ASN,ASN
NA18988,ASN,ASN
NA18989,ASN,ASN
NA18990,ASN,ASN
NA18991,ASN,ASN
NA18992,ASN,ASN
NA18993,ASN,ASN
NA18994,ASN,ASN
NA18995,ASN,ASN
NA18997,ASN,ASN
NA18998,ASN,ASN
NA18999,ASN,ASN
NA19000,ASN,ASN
NA19001,ASN,ASN
NA19002,ASN,ASN
NA19003,ASN,ASN
NA19004,NA,ASN
NA19005,ASN,ASN
NA19006,ASN,ASN
NA19007,ASN,ASN
NA19009,ASN,ASN
NA19010,ASN,ASN
NA19011,ASN,ASN
NA19012,ASN,ASN
NA19054,ASN,ASN
NA19055,ASN,ASN
NA19056,NA,ASN
NA19057,ASN,ASN
NA19058,ASN,ASN
NA19059,ASN,ASN
NA19060,ASN,ASN
NA19062,ASN,ASN
NA19063,ASN,ASN
NA19064,ASN,ASN
NA19065,ASN,ASN
NA19066,ASN,ASN
NA19067,NA,ASN
NA19068,NA,ASN
NA19070,NA,ASN
NA19072,ASN,ASN
NA19074,ASN,ASN
NA19075,ASN,ASN
NA19076,ASN,ASN
NA19077,ASN,ASN
NA19078,ASN,ASN
NA19079,NA,ASN
NA19080,ASN,ASN
NA19081,ASN,ASN
NA19082,ASN,ASN
NA19083,NA,ASN
NA19084,NA,ASN
NA19085,ASN,ASN
NA19086,ASN,ASN
NA19087,ASN,ASN
NA19088,NA,ASN
NA19089,ASN,ASN
NA19090,ASN,ASN
NA19091,ASN,ASN
NA19625,AFR,AFR
NA19648,HIS,HIS
NA19649,HIS,HIS
NA19651,NA,HIS
NA19652,HIS,HIS
